범죄분류,일,월,화,수,목,금,토
절도,26008,25101,24886,25226,25831,27601,29702
장물,237,286,298,308,273,283,249
손괴,8551,7478,7549,7540,7719,8373,9348
살인,106,135,127,118,126,124,122
강도,153,126,144,144,144,147,132
방화,218,195,190,187,207,177,184
성폭력,4790,4271,4423,4517,4656,4941,5226
폭행,27651,20666,22097,22048,21757,23340,27939
상해,8014,6494,6772,6806,6486,7007,7797
협박,2218,2203,2209,2330,2336,2383,2328
공갈,615,765,675,786,780,761,599
약취와유인,19,27,36,40,28,35,31
체포와감금,227,273,235,257,259,255,222
폭력행위등(손괴·강요·주거침입등),123,129,109,129,110,106,137
폭력행위등(단체등의구성·활동),19,15,18,20,29,25,14
도박과복표,1150,1277,1338,1267,1104,1280,1383
과실치사상,407,319,384,353,332,355,433
업무상과실치사상,334,512,566,528,549,559,437
실화,348,340,328,295,306,331,403
주거침입,1729,1632,1733,1702,1723,1724,1723
유기,27,61,42,40,56,48,38
가정폭력범죄의처벌등에관한특례법,22,23,29,21,34,41,27
경범죄처벌법,1005,856,887,934,910,873,1026
교통사고처리특례법,20809,27124,26454,27284,27268,29556,27014
도로교통법,2225,2296,2430,2590,2578,2610,2536
도로교통법(무면허운전),6274,6942,6932,6711,6950,6904,6374
도로교통법(사고후미조치),6502,7073,7037,7178,7199,7659,7599
도로교통법(음주운전),26900,20440,24058,24593,26550,26854,29298
도로교통법(음주측정거부),436,339,419,390,375,384,462
마약류관리에관한법률(대마),136,178,166,183,159,137,128
마약류관리에관한법률(마약),62,237,222,239,224,196,125
마약류관리에관한법률(향정),941,1016,975,1043,993,947,883
성매매알선등행위의처벌에관한법률,853,1731,1899,1606,2164,1349,813
아동·청소년의성보호에관한법률(성매수등),84,86,117,122,120,105,111
아동·청소년의성보호에관한법률(음란물등),37,68,85,67,80,79,75
특가법(도주차량),633,626,651,699,721,686,795
